ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Family
motuomenba,Motuo_Menba,tsha1245,,,,
achanglongchuan,Achang_Longchuan,acha1249,,,,
atsi,Atsi,zaiw1241,,,,
bola,Bola,pela1242,,,,
lashi,Lashi,lash1243,,,,
maru,Maru,maru1249,,,,
oldburmese,Old_Burmese,oldb1235,,,,
rangoon,Rangoon,nucl1310,,,,
xiandao,Xiandao,xian1249,,,,
chepang,Chepang,chep1245,,,,
hakhachin,Hakha_Chin,haka1240,,,,
darangtaraon,Darang_Taraon,diga1241,,,,
yidu,Yidu,idum1241,,,,
garo,Garo,garo1247,,,,
jingpho,Jingpho,jing1260,,,,
wobzikhroskyabs,Wobzi_Khroskyabs,eree1240,,,,
bahing,Bahing,bahi1252,,,,
bantawa,Bantawa,bant1281,,,,
hayu,Hayu,wayu1241,,,,
khaling,Khaling,khal1275,,,,
kulung,Kulung,kulu1253,,,,
limbu,Limbu,limb1266,,,,
thulung,Thulung,thul1246,,,,
rabha,Rabha,rabh1238,,,,
lisu,Lisu,lisu1250,,,,
mikir,Mikir,karb1241,,,,
lushai,Lushai,lush1249,,,,
ukhrul,Ukhrul,ukhr1238,,,,
dulong,Dulong,drun1238,,,,
zhabadaofucounty,Zhaba_Daofu_County,zhab1238,,,,
daofu,Daofu,horp1240,,,,
japhug,Japhug,japh1234,,,,
rgyalrongmaerkang,rGyalrong_Maerkang,situ1238,,,,
beijing,Beijing,beij1235,,,,
chaozhou,Chaozhou,chao1238,,,,
guangzhou,Guangzhou,guan1279,,,,
jieyang,Jieyang,chao1239,,,,
longgang,Longgang,hakk1236,,,,
oldchinese,Old_Chinese,oldc1244,,,,
xingning,Xingning,hakk1236,,,,
tangut,Tangut,tang1334,,,,
bokar,Bokar,boka1249,,,,
tibetanalike,Tibetan_Alike,amdo1237,,,,
tibetanbatang,Tibetan_Batang,kham1282,,,,
tibetanlhasa,Tibetan_Lhasa,utsa1239,,,,
oldtibetan,Old_Tibetan,clas1254,,,,
tibetanxiahe,Tibetan_Xiahe,amdo1237,,,,
rongpo,Rongpo,rong1264,,,,
bunan,Bunan,gahr1239,,,,
byangsi,Byangsi,byan1241,,,,
